"Result  :  Query Result"
"Save Time: 08/27/2019 13:38:19"

"User Name:tec80591227"

"Total 22,464   Records"

"Start Time","Period","NE Name","BSC6900UCell","VS.MeanRTWP (dBm)"
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN72, CellID=18675",-107.153
08/20/2019 01:00:00,30,"RNCCBAA","Label=WEGL45, CellID=18691",-107.276
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCN71, CellID=18674",-107.079
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO43, CellID=47843",-98.246
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO42, CellID=47842",-90.58
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO41, CellID=47841",-101.194
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC47, CellID=17833",-106.581
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC46, CellID=17832",-106.527
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC45, CellID=17831",-104.496
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR43, CellID=47863",-102.047
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR42, CellID=47862",-100.722
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR41, CellID=47861",-98.605
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC73, CellID=17836",-106.606
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC72, CellID=17835",-106.954
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC71, CellID=17834",-104.619
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC43, CellID=47833",-105.16
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO43, CellID=47873",-105.465
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC42, CellID=47832",-106.045
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO42, CellID=47872",-105.317
08/20/2019 01:00:00,30,"RNCCBAA","Label=WAGC41, CellID=47831",-100.561
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO72, CellID=17875",-107.143
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO41, CellID=47871",-108.732
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO71, CellID=17874",-104.339
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR47, CellID=17863",-98.884
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR46, CellID=17862",-98.769
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBCR45, CellID=17861",-97.762
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO47, CellID=17873",-100.748
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO46, CellID=17872",-96.393
08/20/2019 01:00:00,30,"RNCCBAA","Label=WFSO45, CellID=17871",-105.039
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO47, CellID=17843",-105.676
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO46, CellID=17842",-104.361
08/20/2019 01:00:00,30,"RNCCBAA","Label=WSRO45, CellID=17841",-104.517
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBGL13, CellID=48686",-106.771
08/20/2019 01:00:00,30,"RNCCBAA","Label=WBGL12, CellID=48685",-107.014
